transaction_id,utr_number,settlement_batch_id,bank_status,settlement_date,settled_amount,bank_remarks
TXN100000,UTR416717048988,BATCH86553,settled,2026-04-03T03:50:00,499.30,Settlement completed
TXN100002,UTR729083990294,BATCH60282,settled,2026-02-08T00:23:00,4999.34,Settlement completed
TXN100003,UTR701675490752,BATCH97196,pending,2026-03-03T17:50:00,7999.71,Normal T+2 settlement window
TXN100004,UTR138714649765,BATCH68078,settled,2026-05-18T13:16:00,799.15,Settlement completed
TXN100005,UTR801378505420,BATCH50710,settled,2026-01-08T01:47:00,149.98,Settlement completed
TXN100006,UTR206006400643,BATCH77669,settled,2026-02-02T12:26:00,799.33,Settlement completed
TXN100007,UTR822181208136,BATCH97163,settled,2026-05-26T19:32:00,2499.91,Settlement completed
TXN100008,UTR635881807913,BATCH51297,pending,2026-03-12T10:01:00,149.25,Normal T+2 settlement window
TXN100010,UTR985243902072,BATCH95886,settled,2026-03-14T00:45:00,149.41,Settlement completed
TXN100011,UTR853979259803,BATCH75309,settled,2026-01-30T09:27:00,1499.24,Settlement completed
TXN100012,UTR472788485457,BATCH90001,settled,2026-06-11T08:06:00,499.62,Settlement completed
TXN100013,UTR395383537267,BATCH19450,settled,2026-03-11T23:21:00,799.43,Settlement completed
TXN100015,UTR552889860632,BATCH88456,settled,2026-02-11T22:07:00,1499.77,Settlement completed
TXN100016,UTR858522504662,BATCH75597,settled,2026-03-11T22:01:00,7999.72,Settlement completed
TXN100017,UTR402558180144,BATCH20666,pending,2026-02-07T17:39:00,4999.88,Normal T+2 settlement window
TXN100018,UTR522387064657,BATCH51022,rejected,2026-01-27T20:03:00,799.25,Invalid beneficiary account
TXN100019,UTR614696515289,BATCH86599,settled,2026-04-06T01:40:00,499.96,Settlement completed
TXN100020,UTR621938028154,BATCH97624,settled,2026-06-24T16:41:00,149.51,Settlement completed
TXN100021,UTR724030373359,BATCH81601,settled,2026-03-02T00:58:00,7999.81,Settlement completed
TXN100022,UTR162401658105,BATCH98935,settled,2026-04-14T07:10:00,4999.55,Original settlement completed; refund initiated
TXN100023,UTR870023309070,BATCH34889,settled,2026-03-27T09:35:00,999.07,Settlement completed
TXN100024,UTR701730483761,BATCH26226,settled,2026-04-11T21:04:00,299.63,Settlement completed
TXN100025,UTR942886826693,BATCH59725,settled,2026-03-24T07:45:00,4999.32,Settlement completed
TXN100026,UTR585737017027,BATCH58253,settled,2026-06-27T15:31:00,999.12,Settlement completed
TXN100027,UTR130623839383,BATCH56193,settled,2026-06-16T19:27:00,299.11,Settlement completed
TXN100028,UTR519983449234,BATCH71617,pending,2026-06-29T23:58:00,4999.90,Normal T+2 settlement window
TXN100029,UTR320949783767,BATCH46191,pending,2026-01-28T20:46:00,2499.83,Normal T+2 settlement window
TXN100030,UTR976544603761,BATCH31612,settled,2026-06-29T03:00:00,499.21,Settlement completed
TXN100031,UTR116820264703,BATCH87589,settled,2026-04-14T14:08:00,2499.94,Settlement completed
TXN100032,UTR700984277052,BATCH60762,settled,2026-02-25T16:41:00,299.85,Settlement completed
TXN100033,UTR629718150369,BATCH40680,settled,2026-05-13T11:28:00,999.96,Settlement completed
TXN100034,UTR386581783142,BATCH58516,settled,2026-05-05T05:41:00,299.02,Settlement completed
TXN100035,UTR448323573133,BATCH27997,settled,2026-06-16T16:03:00,499.62,Settlement completed
TXN100036,UTR808114107176,BATCH34759,settled,2026-05-04T09:53:00,1499.80,Settlement completed
TXN100037,UTR260272271663,BATCH75545,rejected,2026-01-10T05:07:00,2499.03,Invalid beneficiary account
TXN100038,UTR278360579010,BATCH91352,settled,2026-05-04T02:32:00,149.93,Settlement completed
TXN100039,UTR783088356311,BATCH90019,settled,2026-04-04T15:46:00,999.16,Settlement completed
TXN100041,UTR587295281649,BATCH90430,settled,2026-04-15T05:45:00,999.35,Settlement completed
TXN100042,UTR837708436371,BATCH10160,settled,2026-01-31T13:34:00,7999.32,Settlement completed
TXN100043,UTR791294655708,BATCH86198,settled,2026-01-07T17:00:00,7999.12,Settlement completed
TXN100044,UTR343228600257,BATCH59325,settled,2026-01-19T05:56:00,149.13,Settlement completed
TXN100045,UTR923946578977,BATCH22404,settled,2026-06-28T06:37:00,999.41,Settlement completed
TXN100046,UTR167289130385,BATCH79717,settled,2026-06-21T10:34:00,2499.89,Settlement completed
TXN100047,UTR702424629158,BATCH54168,settled,2026-05-14T12:26:00,799.56,Settlement completed
TXN100048,UTR385771642467,BATCH73149,rejected,2026-03-24T00:26:00,149.86,Invalid beneficiary account
TXN100049,UTR356647751894,BATCH34937,pending,2026-03-03T14:22:00,4999.62,Normal T+2 settlement window
