transaction_id,merchant_id,order_id,amount,currency,payment_method,gateway_status,gateway_timestamp,error_code,error_description
TXN100000,MERCH1018,order_000001,499.30,INR,card,captured,2026-04-02T07:50:00,,
TXN100001,MERCH1027,order_000002,999.29,INR,card,failed,2026-06-20T02:28:00,CARD_DECLINED,Issuer declined the payment
TXN100002,MERCH1029,order_000003,4999.34,INR,wallet,captured,2026-02-07T07:23:00,,
TXN100003,MERCH1018,order_000004,7999.71,INR,upi,captured,2026-03-01T16:50:00,,
TXN100004,MERCH1010,order_000005,799.15,INR,upi,captured,2026-05-18T04:16:00,,
TXN100005,MERCH1011,order_000006,149.98,INR,upi,captured,2026-01-07T01:47:00,,
TXN100006,MERCH1027,order_000007,799.33,INR,upi,captured,2026-02-02T06:26:00,,
TXN100007,MERCH1030,order_000008,2499.91,INR,upi,captured,2026-05-26T11:32:00,,
TXN100008,MERCH1014,order_000009,149.25,INR,netbanking,captured,2026-03-10T08:01:00,,
TXN100009,MERCH1006,order_000010,799.06,INR,netbanking,failed,2026-04-16T22:16:00,PG_502,Issuer declined the payment
TXN100010,MERCH1009,order_000011,149.41,INR,upi,captured,2026-03-13T12:45:00,,
TXN100011,MERCH1023,order_000012,1499.24,INR,netbanking,captured,2026-01-29T11:27:00,,
TXN100012,MERCH1012,order_000013,499.62,INR,upi,captured,2026-06-10T10:06:00,,
TXN100013,MERCH1008,order_000014,799.43,INR,upi,captured,2026-03-10T23:21:00,,
TXN100014,MERCH1019,order_000015,499.66,INR,card,failed,2026-05-17T03:53:00,CARD_DECLINED,Issuer declined the payment
TXN100015,MERCH1013,order_000016,1499.77,INR,wallet,captured,2026-02-10T19:07:00,,
TXN100016,MERCH1011,order_000017,7999.72,INR,card,captured,2026-03-10T18:01:00,,
TXN100017,MERCH1023,order_000018,4999.88,INR,upi,captured,2026-02-05T15:39:00,,
TXN100018,MERCH1001,order_000019,799.25,INR,netbanking,captured,2026-01-26T20:03:00,,
TXN100019,MERCH1020,order_000020,499.96,INR,card,captured,2026-04-05T04:40:00,,
TXN100020,MERCH1018,order_000021,149.51,INR,wallet,captured,2026-06-23T20:41:00,,
TXN100021,MERCH1019,order_000022,7999.81,INR,netbanking,captured,2026-02-28T19:58:00,,
TXN100022,MERCH1004,order_000023,4999.55,INR,netbanking,refunded,2026-04-13T02:10:00,,
TXN100023,MERCH1020,order_000024,999.07,INR,wallet,captured,2026-03-26T13:35:00,,
TXN100024,MERCH1003,order_000025,299.63,INR,upi,captured,2026-04-11T03:04:00,,
TXN100025,MERCH1006,order_000026,4999.32,INR,upi,captured,2026-03-23T11:45:00,,
TXN100026,MERCH1012,order_000027,999.12,INR,card,captured,2026-06-26T15:31:00,,
TXN100027,MERCH1030,order_000028,299.11,INR,wallet,captured,2026-06-16T10:27:00,,
TXN100028,MERCH1013,order_000029,4999.90,INR,wallet,captured,2026-06-27T21:58:00,,
TXN100029,MERCH1021,order_000030,2499.83,INR,upi,captured,2026-01-26T16:46:00,,
TXN100030,MERCH1018,order_000031,499.21,INR,netbanking,captured,2026-06-28T10:00:00,,
TXN100031,MERCH1027,order_000032,2499.94,INR,upi,captured,2026-04-13T20:08:00,,
TXN100032,MERCH1008,order_000033,299.85,INR,upi,captured,2026-02-24T19:41:00,,
TXN100033,MERCH1015,order_000034,999.96,INR,wallet,captured,2026-05-12T16:28:00,,
TXN100034,MERCH1030,order_000035,299.02,INR,wallet,captured,2026-05-04T23:41:00,,
TXN100035,MERCH1021,order_000036,499.62,INR,card,captured,2026-06-16T09:03:00,,
TXN100036,MERCH1012,order_000037,1499.80,INR,card,captured,2026-05-03T20:53:00,,
TXN100037,MERCH1004,order_000038,2499.03,INR,wallet,captured,2026-01-09T05:07:00,,
TXN100038,MERCH1008,order_000039,149.93,INR,wallet,captured,2026-05-02T20:32:00,,
TXN100039,MERCH1030,order_000040,999.16,INR,card,captured,2026-04-03T17:46:00,,
TXN100040,MERCH1005,order_000041,999.89,INR,upi,captured,2026-03-13T02:01:00,,
TXN100041,MERCH1024,order_000042,999.35,INR,upi,captured,2026-04-14T12:45:00,,
TXN100042,MERCH1017,order_000043,7999.32,INR,netbanking,captured,2026-01-30T13:34:00,,
TXN100043,MERCH1029,order_000044,7999.12,INR,wallet,captured,2026-01-06T13:00:00,,
TXN100044,MERCH1001,order_000045,149.13,INR,netbanking,captured,2026-01-18T13:56:00,,
TXN100045,MERCH1015,order_000046,999.41,INR,wallet,captured,2026-06-27T09:37:00,,
TXN100046,MERCH1011,order_000047,2499.89,INR,wallet,captured,2026-06-20T09:34:00,,
TXN100047,MERCH1026,order_000048,799.56,INR,netbanking,captured,2026-05-13T23:26:00,,
TXN100048,MERCH1017,order_000049,149.86,INR,wallet,captured,2026-03-23T00:26:00,,
TXN100049,MERCH1002,order_000050,4999.62,INR,upi,captured,2026-03-01T11:22:00,,
TXN100050,MERCH1002,order_000051,2499.57,INR,card,captured,2026-03-20T09:36:00,,
TXN100051,MERCH1005,order_000052,4999.08,INR,netbanking,captured,2026-02-04T03:39:00,,
TXN100052,MERCH1023,order_000053,149.64,INR,netbanking,captured,2026-04-29T18:18:00,,
TXN100053,MERCH1021,order_000054,499.75,INR,wallet,captured,2026-01-04T09:01:00,,
TXN100054,MERCH1002,order_000055,1499.59,INR,netbanking,captured,2026-06-10T06:21:00,,
TXN100055,MERCH1003,order_000056,799.33,INR,wallet,captured,2026-05-19T10:03:00,,
TXN100056,MERCH1014,order_000057,149.00,INR,card,captured,2026-05-27T08:49:00,,
TXN100057,MERCH1029,order_000058,299.48,INR,wallet,captured,2026-02-16T03:11:00,,
TXN100058,MERCH1001,order_000059,7999.26,INR,netbanking,captured,2026-01-18T12:35:00,,
TXN100059,MERCH1018,order_000060,799.24,INR,wallet,captured,2026-01-25T15:14:00,,
TXN100060,MERCH1024,order_000061,299.14,INR,wallet,captured,2026-04-18T08:54:00,,
TXN100061,MERCH1016,order_000062,4999.51,INR,wallet,captured,2026-05-15T08:21:00,,
TXN100062,MERCH1016,order_000063,4999.00,INR,netbanking,captured,2026-03-26T19:04:00,,
TXN100063,MERCH1002,order_000064,499.03,INR,upi,captured,2026-01-04T15:06:00,,
TXN100064,MERCH1007,order_000065,299.29,INR,wallet,captured,2026-04-18T23:19:00,,
TXN100065,MERCH1027,order_000066,999.29,INR,netbanking,captured,2026-03-04T09:25:00,,
TXN100066,MERCH1024,order_000067,799.69,INR,upi,captured,2026-03-16T01:36:00,,
TXN100067,MERCH1015,order_000068,499.92,INR,wallet,captured,2026-03-26T20:43:00,,
TXN100068,MERCH1006,order_000069,149.78,INR,upi,captured,2026-06-05T14:06:00,,
TXN100069,MERCH1009,order_000070,299.04,INR,upi,captured,2026-04-08T13:40:00,,
TXN100070,MERCH1011,order_000071,149.50,INR,wallet,captured,2026-02-17T18:56:00,,
TXN100071,MERCH1017,order_000072,2499.27,INR,netbanking,captured,2026-04-20T16:37:00,,
TXN100072,MERCH1010,order_000073,499.09,INR,upi,captured,2026-04-13T03:02:00,,
TXN100073,MERCH1005,order_000074,799.88,INR,netbanking,captured,2026-05-22T02:20:00,,
TXN100074,MERCH1023,order_000075,2499.94,INR,wallet,captured,2026-02-25T14:50:00,,
TXN100075,MERCH1005,order_000076,999.56,INR,card,captured,2026-03-13T22:42:00,,
TXN100076,MERCH1025,order_000077,1499.57,INR,card,captured,2026-05-20T06:13:00,,
TXN100077,MERCH1014,order_000078,799.94,INR,netbanking,captured,2026-05-08T12:29:00,,
TXN100078,MERCH1015,order_000079,7999.19,INR,upi,captured,2026-03-16T23:21:00,,
TXN100079,MERCH1001,order_000080,7999.32,INR,card,captured,2026-06-09T21:04:00,,
TXN100080,MERCH1021,order_000081,499.72,INR,netbanking,captured,2026-02-25T07:51:00,,
TXN100081,MERCH1029,order_000082,7999.34,INR,wallet,captured,2026-03-12T01:37:00,,
TXN100082,MERCH1005,order_000083,2499.50,INR,netbanking,captured,2026-05-18T09:00:00,,
TXN100083,MERCH1028,order_000084,7999.12,INR,card,captured,2026-05-27T18:45:00,,
TXN100084,MERCH1006,order_000085,999.12,INR,card,failed,2026-04-21T12:00:00,CARD_DECLINED,Issuer declined the payment
TXN100085,MERCH1030,order_000086,499.28,INR,card,captured,2026-01-05T17:42:00,,
TXN100086,MERCH1009,order_000087,4999.64,INR,card,refunded,2026-04-18T16:22:00,,
TXN100087,MERCH1029,order_000088,2499.41,INR,card,captured,2026-02-17T14:03:00,,
TXN100088,MERCH1017,order_000089,1499.53,INR,upi,failed,2026-01-17T18:08:00,PG_502,Issuer declined the payment
TXN100089,MERCH1004,order_000090,999.03,INR,upi,captured,2026-05-07T18:04:00,,
TXN100090,MERCH1002,order_000091,7999.77,INR,upi,captured,2026-03-27T06:15:00,,
TXN100091,MERCH1010,order_000092,1499.25,INR,card,captured,2026-02-28T08:24:00,,
TXN100092,MERCH1013,order_000093,799.05,INR,upi,captured,2026-05-22T08:04:00,,
TXN100093,MERCH1020,order_000094,499.38,INR,netbanking,failed,2026-01-29T02:06:00,PG_502,Issuer declined the payment
TXN100095,MERCH1023,order_000096,999.71,INR,upi,captured,2026-02-20T23:33:00,,
TXN100096,MERCH1008,order_000097,499.58,INR,card,captured,2026-01-23T23:51:00,,
TXN100097,MERCH1017,order_000098,2499.16,INR,wallet,captured,2026-04-18T20:13:00,,
TXN100098,MERCH1026,order_000099,499.26,INR,netbanking,captured,2026-04-13T06:39:00,,
TXN100099,MERCH1010,order_000100,7999.74,INR,upi,refunded,2026-03-21T19:50:00,,
TXN100100,MERCH1009,order_000101,299.08,INR,wallet,captured,2026-03-05T21:39:00,,
TXN100101,MERCH1028,order_000102,799.07,INR,upi,captured,2026-05-23T02:10:00,,
TXN100102,MERCH1011,order_000103,999.81,INR,wallet,refunded,2026-01-14T01:21:00,,
TXN100103,MERCH1006,order_000104,149.03,INR,netbanking,captured,2026-04-13T06:12:00,,
TXN100104,MERCH1023,order_000105,999.75,INR,card,captured,2026-02-22T21:52:00,,
TXN100105,MERCH1007,order_000106,799.13,INR,card,captured,2026-06-07T18:21:00,,
TXN100106,MERCH1013,order_000107,149.29,INR,wallet,captured,2026-02-11T00:55:00,,
TXN100107,MERCH1018,order_000108,1499.97,INR,wallet,captured,2026-04-17T15:57:00,,
TXN100108,MERCH1009,order_000109,299.11,INR,upi,captured,2026-03-18T06:19:00,,
TXN100109,MERCH1022,order_000110,2499.77,INR,upi,captured,2026-05-27T11:27:00,,
TXN100110,MERCH1022,order_000111,7999.57,INR,card,captured,2026-03-20T18:48:00,,
TXN100111,MERCH1010,order_000112,7999.22,INR,wallet,captured,2026-05-08T11:21:00,,
TXN100112,MERCH1002,order_000113,799.66,INR,card,captured,2026-02-26T04:10:00,,
TXN100113,MERCH1028,order_000114,7999.20,INR,card,refunded,2026-05-16T18:25:00,,
TXN100114,MERCH1018,order_000115,299.82,INR,netbanking,captured,2026-05-28T15:06:00,,
TXN100115,MERCH1025,order_000116,4999.06,INR,upi,captured,2026-04-12T09:47:00,,
TXN100116,MERCH1008,order_000117,4999.09,INR,wallet,captured,2026-05-16T08:54:00,,
TXN100117,MERCH1021,order_000118,7999.60,INR,upi,captured,2026-01-13T00:49:00,,
TXN100118,MERCH1008,order_000119,799.31,INR,netbanking,captured,2026-02-18T12:21:00,,
TXN100119,MERCH1014,order_000120,499.26,INR,upi,captured,2026-05-16T14:13:00,,
TXN100120,MERCH1020,order_000121,499.33,INR,card,captured,2026-04-26T00:38:00,,
TXN100121,MERCH1006,order_000122,499.01,INR,netbanking,captured,2026-03-31T22:21:00,,
TXN100122,MERCH1009,order_000123,299.09,INR,wallet,captured,2026-03-11T20:15:00,,
TXN100123,MERCH1001,order_000124,299.04,INR,upi,refunded,2026-05-25T22:13:00,,
TXN100124,MERCH1025,order_000125,799.67,INR,netbanking,captured,2026-01-01T15:29:00,,
TXN100125,MERCH1004,order_000126,7999.51,INR,wallet,captured,2026-02-27T07:00:00,,
TXN100126,MERCH1006,order_000127,1499.92,INR,card,captured,2026-02-10T20:21:00,,
TXN100127,MERCH1022,order_000128,1499.08,INR,netbanking,refunded,2026-05-08T06:45:00,,
TXN100128,MERCH1003,order_000129,7999.84,INR,wallet,failed,2026-05-22T03:19:00,GATEWAY_TIMEOUT,Issuer declined the payment
TXN100129,MERCH1010,order_000130,4999.98,INR,upi,captured,2026-02-13T01:35:00,,
TXN100130,MERCH1013,order_000131,799.90,INR,upi,captured,2026-05-24T00:46:00,,
TXN100131,MERCH1018,order_000132,7999.95,INR,upi,captured,2026-04-30T23:12:00,,
TXN100132,MERCH1015,order_000133,799.82,INR,card,captured,2026-01-24T04:31:00,,
TXN100133,MERCH1029,order_000134,799.03,INR,upi,captured,2026-04-23T00:37:00,,
TXN100134,MERCH1017,order_000135,799.06,INR,wallet,captured,2026-03-13T06:54:00,,
TXN100135,MERCH1021,order_000136,2499.08,INR,card,captured,2026-01-03T16:10:00,,
TXN100136,MERCH1017,order_000137,299.75,INR,upi,captured,2026-05-08T08:30:00,,
TXN100137,MERCH1019,order_000138,299.98,INR,netbanking,captured,2026-01-18T14:03:00,,
TXN100138,MERCH1026,order_000139,299.46,INR,netbanking,failed,2026-04-10T15:36:00,PG_502,Issuer declined the payment
TXN100139,MERCH1021,order_000140,4999.73,INR,upi,captured,2026-06-11T08:03:00,,
TXN100140,MERCH1007,order_000141,499.55,INR,netbanking,captured,2026-05-28T09:52:00,,
TXN100141,MERCH1028,order_000142,2499.27,INR,upi,captured,2026-06-23T04:46:00,,
TXN100142,MERCH1002,order_000143,7999.58,INR,netbanking,captured,2026-04-05T19:48:00,,
TXN100143,MERCH1001,order_000144,149.88,INR,card,captured,2026-04-14T04:53:00,,
TXN100144,MERCH1022,order_000145,2499.78,INR,card,captured,2026-05-13T16:33:00,,
TXN100145,MERCH1010,order_000146,299.53,INR,netbanking,failed,2026-01-02T00:38:00,PG_502,Issuer declined the payment
TXN100146,MERCH1020,order_000147,499.77,INR,card,refunded,2026-06-03T14:55:00,,
TXN100147,MERCH1017,order_000148,999.52,INR,card,captured,2026-05-21T07:26:00,,
TXN100148,MERCH1018,order_000149,799.70,INR,netbanking,captured,2026-02-12T11:18:00,,
TXN100149,MERCH1009,order_000150,1499.48,INR,upi,captured,2026-01-02T20:51:00,,
TXN100150,MERCH1005,order_000151,7999.02,INR,netbanking,captured,2026-06-05T22:00:00,,
TXN100151,MERCH1002,order_000152,299.12,INR,card,captured,2026-05-09T13:44:00,,
TXN100152,MERCH1009,order_000153,4999.89,INR,card,captured,2026-01-10T02:56:00,,
TXN100153,MERCH1001,order_000154,999.32,INR,card,captured,2026-06-07T20:30:00,,
TXN100154,MERCH1019,order_000155,999.87,INR,netbanking,captured,2026-06-06T08:04:00,,
TXN100155,MERCH1014,order_000156,149.06,INR,card,captured,2026-06-27T03:49:00,,
TXN100156,MERCH1028,order_000157,4999.82,INR,netbanking,failed,2026-03-06T22:46:00,PG_502,Issuer declined the payment
TXN100157,MERCH1010,order_000158,999.88,INR,wallet,failed,2026-06-14T08:50:00,CARD_DECLINED,Issuer declined the payment
TXN100158,MERCH1005,order_000159,999.61,INR,wallet,captured,2026-04-06T19:16:00,,
TXN100159,MERCH1002,order_000160,999.96,INR,card,captured,2026-04-08T21:58:00,,
TXN100160,MERCH1004,order_000161,499.41,INR,netbanking,captured,2026-06-10T17:16:00,,
TXN100161,MERCH1010,order_000162,1499.47,INR,card,captured,2026-06-17T15:11:00,,
TXN100162,MERCH1006,order_000163,799.92,INR,card,captured,2026-03-30T22:10:00,,
TXN100163,MERCH1007,order_000164,2499.89,INR,netbanking,captured,2026-06-28T01:09:00,,
TXN100164,MERCH1029,order_000165,499.44,INR,wallet,captured,2026-01-22T13:29:00,,
TXN100165,MERCH1026,order_000166,149.43,INR,wallet,captured,2026-06-05T09:43:00,,
TXN100166,MERCH1003,order_000167,149.35,INR,wallet,captured,2026-02-16T01:57:00,,
TXN100167,MERCH1014,order_000168,2499.36,INR,card,captured,2026-06-19T16:20:00,,
TXN100168,MERCH1018,order_000169,2499.09,INR,netbanking,captured,2026-05-29T10:12:00,,
TXN100169,MERCH1012,order_000170,799.75,INR,upi,captured,2026-05-03T12:38:00,,
TXN100170,MERCH1012,order_000171,799.46,INR,wallet,captured,2026-01-21T05:02:00,,
TXN100171,MERCH1009,order_000172,2499.13,INR,wallet,captured,2026-03-14T12:05:00,,
TXN100172,MERCH1012,order_000173,2499.72,INR,card,captured,2026-05-03T05:18:00,,
TXN100173,MERCH1012,order_000174,7999.18,INR,card,captured,2026-02-16T10:21:00,,
TXN100174,MERCH1017,order_000175,7999.66,INR,netbanking,captured,2026-05-28T12:14:00,,
TXN100175,MERCH1021,order_000176,499.36,INR,netbanking,failed,2026-03-17T07:20:00,GATEWAY_TIMEOUT,Issuer declined the payment
TXN100176,MERCH1024,order_000177,2499.09,INR,wallet,captured,2026-04-28T19:58:00,,
TXN100177,MERCH1016,order_000178,7999.54,INR,card,captured,2026-02-23T04:16:00,,
TXN100178,MERCH1024,order_000179,799.65,INR,wallet,captured,2026-04-28T14:04:00,,
TXN100179,MERCH1012,order_000180,4999.78,INR,wallet,failed,2026-03-23T06:29:00,CARD_DECLINED,Issuer declined the payment
TXN100180,MERCH1016,order_000181,299.20,INR,upi,captured,2026-04-03T12:07:00,,
TXN100181,MERCH1005,order_000182,2499.19,INR,wallet,captured,2026-04-09T13:58:00,,
TXN100182,MERCH1019,order_000183,4999.54,INR,upi,refunded,2026-03-04T19:53:00,,
TXN100183,MERCH1006,order_000184,1499.11,INR,netbanking,captured,2026-03-23T15:55:00,,
TXN100184,MERCH1017,order_000185,499.42,INR,wallet,failed,2026-01-11T12:10:00,CARD_DECLINED,Issuer declined the payment
TXN100185,MERCH1008,order_000186,999.47,INR,upi,captured,2026-04-12T10:03:00,,
TXN100186,MERCH1025,order_000187,2499.18,INR,netbanking,captured,2026-04-07T17:35:00,,
TXN100187,MERCH1013,order_000188,4999.00,INR,wallet,captured,2026-02-06T01:50:00,,
TXN100188,MERCH1021,order_000189,499.78,INR,card,captured,2026-04-13T11:09:00,,
TXN100189,MERCH1009,order_000190,299.24,INR,netbanking,captured,2026-05-31T21:11:00,,
TXN100191,MERCH1011,order_000192,1499.14,INR,wallet,captured,2026-05-21T02:04:00,,
TXN100192,MERCH1026,order_000193,499.81,INR,upi,captured,2026-05-15T21:23:00,,
TXN100193,MERCH1010,order_000194,499.42,INR,card,captured,2026-03-23T13:08:00,,
TXN100194,MERCH1017,order_000195,1499.49,INR,card,captured,2026-06-25T20:10:00,,
TXN100195,MERCH1005,order_000196,799.43,INR,netbanking,captured,2026-03-21T23:53:00,,
TXN100196,MERCH1013,order_000197,1499.70,INR,netbanking,captured,2026-02-19T10:58:00,,
