transaction_id,ledger_entry_id,entry_type,ledger_status,posted_date,reconciled_amount,reconciliation_flag
TXN100000,LEDGER576366,credit,posted,2026-04-03T08:50:00,499.30,matched
TXN100002,LEDGER313068,credit,pending,2026-02-08T20:23:00,4999.34,pending
TXN100003,LEDGER895960,credit,pending,2026-03-03T21:50:00,7999.71,pending
TXN100004,LEDGER431779,credit,posted,2026-05-18T17:16:00,799.15,matched
TXN100005,LEDGER146340,credit,posted,2026-01-08T02:47:00,149.98,matched
TXN100006,LEDGER604926,credit,posted,2026-02-02T16:26:00,799.33,matched
TXN100007,LEDGER726259,credit,posted,2026-05-27T01:32:00,2499.91,matched
TXN100008,LEDGER829841,credit,pending,2026-03-12T14:01:00,149.25,pending
TXN100010,LEDGER263469,credit,posted,2026-03-14T08:45:00,149.41,matched
TXN100012,LEDGER682240,credit,posted,2026-06-11T11:06:00,499.62,matched
TXN100013,LEDGER439007,credit,posted,2026-03-12T07:21:00,799.43,matched
TXN100015,LEDGER611120,credit,posted,2026-02-11T23:07:00,1499.77,matched
TXN100016,LEDGER490620,credit,posted,2026-03-12T04:01:00,7999.72,matched
TXN100017,LEDGER674096,credit,pending,2026-02-07T21:39:00,4999.88,pending
TXN100018,LEDGER610896,credit,pending,2026-01-28T04:03:00,799.25,pending
TXN100019,LEDGER943800,credit,posted,2026-04-06T05:40:00,499.96,matched
TXN100020,LEDGER223369,credit,posted,2026-06-24T19:41:00,149.51,matched
TXN100021,LEDGER754428,credit,mismatched,2026-03-02T03:58:00,7974.81,mismatch
TXN100022,LEDGER519627,reversal,posted,2026-04-14T12:10:00,-4999.55,matched
TXN100023,LEDGER674504,credit,posted,2026-03-27T17:35:00,999.07,matched
TXN100024,LEDGER290841,credit,pending,2026-04-12T17:04:00,299.63,pending
TXN100026,LEDGER444488,credit,posted,2026-06-27T20:31:00,999.12,matched
TXN100027,LEDGER232243,credit,pending,2026-06-17T15:27:00,299.11,pending
TXN100028,LEDGER809139,credit,pending,2026-06-30T03:58:00,4999.90,pending
TXN100029,LEDGER736034,credit,pending,2026-01-29T00:46:00,2499.83,pending
TXN100030,LEDGER689318,credit,posted,2026-06-29T09:00:00,499.21,matched
TXN100031,LEDGER261458,credit,posted,2026-04-14T16:08:00,2499.94,matched
TXN100032,LEDGER192375,credit,pending,2026-02-26T12:41:00,299.85,pending
TXN100033,LEDGER146215,credit,posted,2026-05-13T16:28:00,999.96,matched
TXN100034,LEDGER782063,credit,posted,2026-05-05T06:41:00,299.02,matched
TXN100035,LEDGER956996,credit,posted,2026-06-16T20:03:00,499.62,matched
TXN100036,LEDGER394492,credit,posted,2026-05-04T13:53:00,1499.80,matched
TXN100037,LEDGER381002,credit,pending,2026-01-10T13:07:00,2499.03,pending
TXN100038,LEDGER436533,credit,pending,2026-05-04T22:32:00,149.93,pending
TXN100039,LEDGER680155,credit,posted,2026-04-04T20:46:00,999.16,matched
TXN100040,LEDGER386590,credit,posted,2026-03-14T09:01:00,999.89,matched
TXN100041,LEDGER893788,credit,posted,2026-04-15T09:45:00,999.35,matched
TXN100042,LEDGER459208,credit,posted,2026-01-31T18:34:00,7999.32,matched
TXN100043,LEDGER990960,credit,posted,2026-01-07T21:00:00,7999.12,matched
TXN100044,LEDGER613302,credit,posted,2026-01-19T09:56:00,149.13,matched
TXN100045,LEDGER655686,credit,posted,2026-06-28T13:37:00,999.41,matched
TXN100046,LEDGER308088,credit,mismatched,2026-06-21T13:34:00,2449.89,mismatch
TXN100047,LEDGER939534,credit,pending,2026-05-15T08:26:00,799.56,pending
TXN100048,LEDGER449420,credit,pending,2026-03-24T08:26:00,149.86,pending
TXN100049,LEDGER958115,credit,pending,2026-03-03T18:22:00,4999.62,pending
TXN100050,LEDGER135999,credit,pending,2026-03-22T16:36:00,2499.57,pending
